number,base_fee_per_gas
14688876,170462892252
14688877,191742777981
14688878,215705826865
14688879,242668518280
14688880,272983810125
14688881,307087572880
14688882,345446669799
14688883,388601223421
14688884,437139572537
14688885,491733933751
14688886,553192685186
14688887,622323008364
14688888,700017769592
14688889,787487906581
14688890,885905356125
14688891,996623700719
14688892,1121126675605
14688893,1261166034971
14688894,1418695036896
14688895,1596010343098
14688896,1795441344964
14688897,2019565105727
14688898,2271978969390
14688899,2555619309479
14688900,2874952907822
14688901,3234077170933
14688902,3638128164627
14688903,4092441511108
14688904,4603374996675
14688905,5178748037077
14688906,5825965747799
14688907,6554035956132
14688908,7372915739343
14688909,8226010985293
14688910,8247590622661
